Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
15,9i,--,24.0,23.0,24.0,23.0,43.0,42.0,43.0,42.0,10,10,43.0,43.0,--,26°,28°,--,0,--,--
16,7i,--,108.0,108.0,113.0,112.0,112.0,110.0,116.0,115.0,79,82,83.0,85.0,--,32°,33°,--,0,--,--
17,7i,--,23.0,19.0,23.0,19.0,51.0,47.0,51.0,47.0,3,3,33.0,33.0,--,20°,22°,--,0,--,--
18,7i,--,102.0,101.0,105.0,104.0,106.0,106.0,109.0,108.0,59,62,82.0,83.0,--,25°,26°,--,1R,--,--
19,7i,--,100.0,98.0,103.0,102.0,107.0,107.0,110.0,109.0,49,52,85.0,85.0,--,21°,23°,--,2R,--,--
20,7i,--,140.0,140.0,149.0,149.0,161.0,161.0,170.0,170.0,52,56,108.0,112.0,--,14°,15°,--,3L,--,--
21,7i,--,48.0,44.0,48.0,44.0,93.0,89.0,93.0,89.0,3,3,87.0,88.0,--,7°,8°,--,1R,--,--
22,7i,--,74.0,69.0,75.0,69.0,124.0,118.0,125.0,119.0,7,7,102.0,104.0,--,6°,7°,--,1R,--,--
23,7i,--,100.0,97.0,103.0,100.0,137.0,133.0,139.0,137.0,13,16,104.0,107.0,--,8°,9°,--,1R,--,--
24,7i,--,120.0,120.0,126.0,126.0,129.0,128.0,135.0,135.0,62,66,95.0,97.0,--,21°,23°,--,1R,--,--
25,7i,--,52.0,46.0,52.0,46.0,102.0,95.0,102.0,95.0,3,3,89.0,90.0,--,7°,8°,--,0,--,--
26,7i,--,96.0,94.0,98.0,96.0,109.0,107.0,112.0,109.0,43,46,80.0,80.0,--,21°,22°,--,2L,--,--
27,D,--,177.0,177.0,195.0,195.0,190.0,190.0,208.0,208.0,98,108,127.0,132.0,--,16°,17°,--,1L,--,--
28,D,--,183.0,183.0,202.0,202.0,201.0,201.0,221.0,221.0,79,85,133.0,139.0,--,13°,14°,--,8L,--,--
29,D,--,180.0,180.0,198.0,199.0,197.0,197.0,215.0,215.0,82,92,126.0,130.0,--,16°,18°,--,4R,--,--
30,D,--,37.0,35.0,37.0,35.0,66.0,63.0,66.0,63.0,7,7,48.0,48.0,--,19°,21°,--,1L,--,--
31,D,--,171.0,171.0,187.0,187.0,200.0,200.0,215.0,215.0,52,59,123.0,128.0,--,12°,14°,--,5L,--,--
32,D,--,51.0,45.0,51.0,45.0,106.0,100.0,106.0,100.0,3,3,91.0,93.0,--,5°,6°,--,1L,--,--
33,D,--,117.0,120.0,122.0,126.0,166.0,170.0,172.0,175.0,10,10,120.0,125.0,--,6°,6°,--,2L,--,--
34,D,--,34.0,32.0,34.0,32.0,65.0,62.0,65.0,62.0,7,7,52.0,52.0,--,16°,18°,--,0,--,--
35,D,--,168.0,168.0,185.0,185.0,178.0,178.0,194.0,194.0,89,95,124.0,129.0,--,15°,16°,--,1R,--,--
36,D,--,144.0,144.0,155.0,155.0,186.0,186.0,196.0,196.0,23,26,124.0,129.0,--,6°,6°,--,1L,--,--
