Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
97,D,-0.02,100.0,98.0,102.0,101.0,143.0,142.0,145.0,144.0,13,13,104.0,107.0,4°L,8°,9°,17L,1L,--,--
98,D,0.17,150.0,150.0,161.0,162.0,176.0,176.0,188.0,188.0,46,49,112.0,116.0,0°,13°,14°,9R,2R,--,--
99,D,0.19,155.0,155.0,168.0,168.0,182.0,182.0,195.0,195.0,56,59,113.0,117.0,1°R,14°,15°,12R,2R,--,--
100,D,-0.17,63.0,63.0,65.0,63.0,117.0,117.0,118.0,117.0,3,3,104.0,106.0,7°L,6°,6°,19L,1L,--,--
101,D,0.26,153.0,151.0,165.0,162.0,196.0,192.0,208.0,205.0,30,30,118.0,122.0,2°L,8°,8°,8R,2R,--,--
102,D,0.08,138.0,138.0,147.0,147.0,156.0,156.0,166.0,165.0,59,62,105.0,108.0,0°,15°,17°,4R,1R,--,--
103,D,-0.07,114.0,115.0,119.0,119.0,149.0,150.0,153.0,154.0,20,20,108.0,112.0,4°L,8°,8°,28L,3L,--,--
104,D,-0.18,69.0,68.0,70.0,68.0,108.0,107.0,109.0,108.0,10,10,101.0,104.0,1°R,11°,12°,9L,1L,--,--
105,D,0.05,104.0,100.0,107.0,102.0,153.0,149.0,156.0,151.0,10,10,117.0,121.0,0°,6°,6°,7R,1R,--,--
106,D,-0.07,89.0,86.0,90.0,87.0,130.0,128.0,132.0,130.0,10,10,109.0,113.0,1°L,9°,10°,11L,1L,--,--
